Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(1),Q2(1)zz,|Q2|(-1),Q2(-1)zz
C6H4-CH2-2,4.581627999999999,-3.7738640000000006,7.251239,-7.212107,0.460343,0.441086,0.460343,0.441086
C6H4-CH3-2,4.271566,-3.54953,5.177723,-5.125805,0.475841,0.47205,0.475841,0.47205
C6H4-NH-2,4.174614,-3.2155620000000003,15.77373,-1.166313,0.455795,0.421252,0.455795,0.421252
C6H4-NH2-2,4.484783999999999,-3.767162,14.466545,-10.032401,0.486999,0.477321,0.486999,0.477321
C6H4-OH-2,4.33922,-3.5739979999999996,14.501858,-6.247644,0.484539,0.473743,0.484539,0.473743
C6H4O2,3.8851560000000003,-2.743512,16.392318,3.386048,0.452635,0.401988,0.452635,0.401988
C6H5CH2+,3.636965,-2.4497669999999996,16.520887,-14.888662,0.447574,0.44012,0.447574,0.44012
C6H5CH2-,5.5138620000000005,-4.652311,9.962917,2.3498,0.520557,0.512872,0.520557,0.512872
C6H5CH3,4.455787000000001,-3.297288,5.340276,-5.335604,0.494144,0.484927,0.502793,0.493213
C6H5NH+,3.473865,-2.183866,13.102164,-11.686605,0.41988,0.413927,0.41988,0.413927
C6H5NH-,5.428559,-4.470834,13.089572,4.333169,0.511789,0.499175,0.511789,0.499175
C6H5NH2,4.597476,-3.530184,8.908411,-7.888815,0.491491,0.481288,0.505271,0.493951
C6H5O+,3.3474519999999997,-1.949511,9.507879,-8.963724,0.397432,0.386822,0.397432,0.386822
C6H5O-,5.336355,-4.300142999999999,12.836225,5.426783,0.506175,0.487598,0.506175,0.487598
C6H5OH,4.53855,-3.4284280000000003,8.352861,-6.079965,0.492685,0.480569,0.492685,0.480569
C6H6,4.441066,-3.4852420000000004,5.741886,-5.741886,0.503751,0.503751,0.503751,0.503751
